seed,delta,gamma,status,safe_mode_activations,disconnect_steps,replans,path_len
6,1.0,0.5,ok,1,15,1,2
6,1.0,1.0,ok,1,6,1,0
6,1.0,2.0,ok,1,6,1,0
6,1.0,4.0,ok,1,6,1,0
6,2.0,0.0,ok,1,19,1,2
6,2.0,0.5,ok,1,18,1,2
6,2.0,1.0,ok,1,12,1,2
6,2.0,2.0,ok,1,6,1,0
6,2.0,4.0,ok,1,6,1,0
7,0.0,0.0,ok,1,12,1,5
7,0.0,0.5,ok,1,11,1,5
7,0.0,1.0,ok,1,11,1,5
7,0.0,2.0,ok,1,8,1,4
7,0.0,4.0,ok,0,6,0,54
7,0.5,0.0,ok,1,12,1,5
7,0.5,0.5,ok,1,11,1,5
7,0.5,1.0,ok,1,11,1,5
7,0.5,2.0,ok,1,11,1,5
7,0.5,4.0,ok,1,7,1,4
7,1.0,0.0,ok,1,12,1,5
7,1.0,0.5,ok,1,12,1,5
7,1.0,1.0,ok,1,11,1,5
7,1.0,2.0,ok,1,11,1,5
7,1.0,4.0,ok,1,7,1,4
7,2.0,0.0,ok,1,12,1,5
7,2.0,0.5,ok,1,12,1,5
7,2.0,1.0,ok,1,11,1,5
7,2.0,2.0,ok,1,11,1,5
7,2.0,4.0,ok,1,8,1,4
8,0.0,0.0,ok,1,20,1,28
8,0.0,0.5,ok,1,8,1,4
8,0.0,1.0,ok,1,7,1,3
8,0.0,2.0,ok,1,6,1,3
8,0.0,4.0,ok,1,6,1,3
8,0.5,0.0,ok,1,20,1,28
8,0.5,0.5,ok,1,8,1,4
8,0.5,1.0,ok,1,7,1,3
8,0.5,2.0,ok,1,6,1,3
8,0.5,4.0,ok,1,6,1,3
8,1.0,0.0,ok,1,20,1,28
8,1.0,0.5,ok,1,16,1,2
8,1.0,1.0,ok,1,8,1,4
8,1.0,2.0,ok,1,7,1,3
8,1.0,4.0,ok,1,6,1,3
8,2.0,0.0,ok,1,20,1,28
8,2.0,0.5,ok,1,16,1,2
8,2.0,1.0,ok,1,8,1,4
8,2.0,2.0,ok,1,7,1,3
8,2.0,4.0,ok,1,6,1,3
9,0.0,0.0,ok,1,19,1,26
9,0.0,0.5,ok,1,13,1,0
9,0.0,1.0,ok,1,11,1,0
9,0.0,2.0,ok,1,6,1,0
9,0.0,4.0,ok,1,6,1,0
9,0.5,0.0,ok,1,19,1,26
9,0.5,0.5,ok,1,13,1,0
9,0.5,1.0,ok,1,11,1,0
9,0.5,2.0,ok,1,8,1,0
9,0.5,4.0,ok,1,6,1,0
9,1.0,0.0,ok,1,19,1,26
9,1.0,0.5,ok,1,16,1,0
9,1.0,1.0,ok,1,13,1,0
9,1.0,2.0,ok,1,8,1,0
9,1.0,4.0,ok,1,6,1,0
9,2.0,0.0,ok,1,19,1,26
9,2.0,0.5,ok,1,16,1,0
9,2.0,1.0,ok,1,14,1,0
9,2.0,2.0,ok,1,11,1,0
9,2.0,4.0,ok,1,6,1,0
10,0.0,0.0,ok,1,23,1,15
10,0.0,0.5,ok,1,11,1,5
10,0.0,1.0,ok,1,10,1,5
10,0.0,2.0,ok,0,6,0,54
10,0.0,4.0,ok,0,5,0,54
10,0.5,0.0,ok,1,23,1,15
10,0.5,0.5,ok,1,13,1,5
10,0.5,1.0,ok,1,10,1,5
10,0.5,2.0,ok,1,10,1,5
10,0.5,4.0,ok,0,6,0,54
10,1.0,0.0,ok,1,23,1,15
10,1.0,0.5,ok,1,22,1,15
10,1.0,1.0,ok,1,10,1,5
10,1.0,2.0,ok,1,10,1,5
10,1.0,4.0,ok,0,6,0,54
10,2.0,0.0,ok,1,23,1,15
10,2.0,0.5,ok,1,22,1,15
10,2.0,1.0,ok,1,11,1,5
10,2.0,2.0,ok,1,10,1,5
10,2.0,4.0,ok,0,6,0,54
11,0.0,0.0,ok,1,20,1,7
11,0.0,0.5,ok,1,12,1,7
11,0.0,1.0,ok,1,12,1,7
11,0.0,2.0,ok,1,12,1,7
11,0.0,4.0,ok,0,8,0,54
11,0.5,0.0,ok,1,20,1,7
11,0.5,0.5,ok,1,14,1,7
11,0.5,1.0,ok,1,12,1,7
11,0.5,2.0,ok,1,12,1,7
11,0.5,4.0,ok,0,8,0,54
11,1.0,0.0,ok,1,20,1,7
11,1.0,0.5,ok,1,14,1,7
11,1.0,1.0,ok,1,12,1,7
11,1.0,2.0,ok,1,12,1,7
11,1.0,4.0,ok,0,8,0,54
11,2.0,0.0,ok,1,20,1,7
11,2.0,0.5,ok,1,16,1,7
11,2.0,1.0,ok,1,12,1,7
11,2.0,2.0,ok,1,12,1,7
11,2.0,4.0,ok,1,12,1,7
12,0.0,0.0,ok,1,13,1,9
12,0.0,0.5,ok,0,6,0,54
12,0.0,1.0,ok,0,6,0,54
12,0.0,2.0,ok,0,7,0,54
12,0.0,4.0,ok,0,7,0,54
12,0.5,0.0,ok,1,13,1,9
12,0.5,0.5,ok,0,6,0,54
12,0.5,1.0,ok,0,6,0,54
12,0.5,2.0,ok,0,6,0,54
12,0.5,4.0,ok,0,7,0,54
12,1.0,0.0,ok,1,13,1,9
12,1.0,0.5,ok,1,9,1,5
12,1.0,1.0,ok,0,6,0,54
12,1.0,2.0,ok,0,6,0,54
12,1.0,4.0,ok,0,7,0,54
12,2.0,0.0,ok,1,13,1,9
12,2.0,0.5,ok,1,11,1,7
12,2.0,1.0,ok,0,6,0,54
12,2.0,2.0,ok,0,6,0,54
12,2.0,4.0,ok,0,7,0,54
13,0.0,0.0,ok,0,19,0,54
13,0.0,0.5,ok,1,14,1,9
13,0.0,1.0,ok,1,14,1,9
13,0.0,2.0,ok,1,12,1,4
13,0.0,4.0,ok,1,10,1,4
13,0.5,0.0,ok,0,19,0,56
13,0.5,0.5,ok,1,14,1,9
13,0.5,1.0,ok,1,14,1,9
