seed,planner,lam,gamma,status,expansions,path_len,path_risk_sum,path_conn_pen_sum
0,geometry_only,0.0,0.0,ok,603,54,4.409277858975364,31.099777648768672
0,risk_only,2.0,0.0,ok,624,54,4.409277858975364,31.099777648768672
0,risk_plus_connectivity,2.0,0.0,ok,624,54,4.409277858975364,31.099777648768672
0,risk_plus_connectivity,2.0,0.5,ok,812,54,5.231173514389485,22.019199124638686
0,risk_plus_connectivity,2.0,1.0,ok,833,54,5.314194700272197,21.74159933158
0,risk_plus_connectivity,2.0,2.0,ok,883,54,6.5781471013483985,20.365514153329812
0,risk_plus_connectivity,2.0,4.0,ok,938,54,8.32717995344513,19.429481043305074
1,geometry_only,0.0,0.0,ok,622,54,7.837800721415949,30.073460444645995
1,risk_only,2.0,0.0,ok,476,54,5.134274572136295,28.913914473900373
1,risk_plus_connectivity,2.0,0.0,ok,476,54,5.134274572136295,28.913914473900373
1,risk_plus_connectivity,2.0,0.5,ok,710,54,5.727759979101257,26.276294430330186
1,risk_plus_connectivity,2.0,1.0,ok,792,54,7.014119787294236,23.21584556877558
1,risk_plus_connectivity,2.0,2.0,ok,826,54,8.446727802379147,21.05438059279474
1,risk_plus_connectivity,2.0,4.0,ok,835,54,9.653658485272368,20.346822200733197
2,geometry_only,0.0,0.0,ok,679,54,2.66010937485706,29.955325618170164
2,risk_only,2.0,0.0,ok,473,54,2.66010937485706,29.955325618170164
2,risk_plus_connectivity,2.0,0.0,ok,473,54,2.66010937485706,29.955325618170164
2,risk_plus_connectivity,2.0,0.5,ok,862,54,2.707500995743485,29.58527861191199
2,risk_plus_connectivity,2.0,1.0,ok,870,54,6.7792702685675765,16.792875544516814
2,risk_plus_connectivity,2.0,2.0,ok,883,54,6.83248568958168,16.695692660596333
2,risk_plus_connectivity,2.0,4.0,ok,905,54,6.969996058584552,16.561187391764665
3,geometry_only,0.0,0.0,ok,687,54,7.171263628931321,30.46345390253227
3,risk_only,2.0,0.0,ok,515,54,6.220830930214558,30.738382534441236
3,risk_plus_connectivity,2.0,0.0,ok,515,54,6.220830930214558,30.738382534441236
3,risk_plus_connectivity,2.0,0.5,ok,897,54,7.09258877281625,22.674054694457737
3,risk_plus_connectivity,2.0,1.0,ok,899,54,7.977185268107294,20.455437920246244
3,risk_plus_connectivity,2.0,2.0,ok,891,54,9.36968675774557,18.03585166057621
3,risk_plus_connectivity,2.0,4.0,ok,892,54,10.05270397400134,17.620640802623665
4,geometry_only,0.0,0.0,ok,695,54,4.985420313179854,30.707329123017065
4,risk_only,2.0,0.0,ok,771,54,3.17081746671679,30.59918157059054
4,risk_plus_connectivity,2.0,0.0,ok,771,54,3.17081746671679,30.59918157059054
4,risk_plus_connectivity,2.0,0.5,ok,829,54,4.19512014296779,21.867070485018957
4,risk_plus_connectivity,2.0,1.0,ok,893,54,4.891461105177381,19.862758743544084
4,risk_plus_connectivity,2.0,2.0,ok,956,54,5.569153670102231,18.989525981259682
4,risk_plus_connectivity,2.0,4.0,ok,981,54,7.277180974804961,17.6173806098497
5,geometry_only,0.0,0.0,ok,678,54,7.05366353574632,32.03598049986654
5,risk_only,2.0,0.0,ok,565,54,5.883234144553756,25.0164583527379
5,risk_plus_connectivity,2.0,0.0,ok,565,54,5.883234144553756,25.0164583527379
5,risk_plus_connectivity,2.0,0.5,ok,831,54,6.342871529370663,21.356356266796347
5,risk_plus_connectivity,2.0,1.0,ok,847,54,7.485968536515278,17.98596412547661
5,risk_plus_connectivity,2.0,2.0,ok,866,54,7.996138617993062,17.31329067454983
5,risk_plus_connectivity,2.0,4.0,ok,878,54,8.085683251167678,17.22660709126588
6,geometry_only,0.0,0.0,ok,662,54,3.6287183494865727,30.61129650708649
6,risk_only,2.0,0.0,ok,471,54,3.6287183494865727,30.61129650708649
6,risk_plus_connectivity,2.0,0.0,ok,471,54,3.6287183494865727,30.61129650708649
6,risk_plus_connectivity,2.0,0.5,ok,856,54,4.765598515865838,24.813938888122287
6,risk_plus_connectivity,2.0,1.0,ok,860,54,7.435573954717356,16.781135014500748
6,risk_plus_connectivity,2.0,2.0,ok,861,54,7.526630211220089,16.64584358309993
6,risk_plus_connectivity,2.0,4.0,ok,884,54,7.8781747169732235,16.396770965544125
7,geometry_only,0.0,0.0,ok,652,54,5.172699542440486,30.04185577620855
7,risk_only,2.0,0.0,ok,466,54,3.7791889475914977,22.354610871971545
7,risk_plus_connectivity,2.0,0.0,ok,466,54,3.7791889475914977,22.354610871971545
7,risk_plus_connectivity,2.0,0.5,ok,787,54,3.9667703812353055,21.134125208278903
7,risk_plus_connectivity,2.0,1.0,ok,868,54,4.1341115743891095,20.66758471935278
7,risk_plus_connectivity,2.0,2.0,ok,886,54,5.055638348327331,19.576781823967373
7,risk_plus_connectivity,2.0,4.0,ok,894,54,8.639900076810306,17.017341427135115
8,geometry_only,0.0,0.0,ok,668,54,6.205442729750232,31.11694928100562
8,risk_only,2.0,0.0,ok,568,56,5.077357588840169,33.39900930249979
8,risk_plus_connectivity,2.0,0.0,ok,568,56,5.077357588840169,33.39900930249979
8,risk_plus_connectivity,2.0,0.5,ok,872,54,7.957607807847019,19.828048680791202
8,risk_plus_connectivity,2.0,1.0,ok,873,54,8.10730057944372,19.396408526808386
8,risk_plus_connectivity,2.0,2.0,ok,864,54,9.744514518359287,17.332295145555452
8,risk_plus_connectivity,2.0,4.0,ok,878,54,10.287798707243455,17.03904359493785
9,geometry_only,0.0,0.0,ok,624,54,8.28792701849664,31.202626109209383
