mode,w_ent,w_unc,w_cost,x,y,entropy_gain,uncertainty_gain,distance,score
entropy_only,1.0,0.0,0.2,10.125925925925927,2.5185185185185186,23.576034179122303,42.60000000000001,10.44030650891055,0.8000000000000002
uncertainty_only,0.0,1.0,0.2,15.115776081424936,25.346055979643765,26.523038451512587,57.599999999999994,29.154759474226502,0.8
combined,0.5,0.3,0.2,15.115776081424936,25.346055979643765,26.523038451512587,57.599999999999994,29.154759474226502,0.6000000000000001
