t,attack,d2,thr,ratio,scale,flagged,streak,triggered,alert
86,0,0.107923,11.369058,0.009493,1.000000,0,0,0,0
87,0,1.057653,11.369058,0.093029,1.000000,0,0,0,0
88,0,2.216042,11.369058,0.194919,1.000000,0,0,0,0
89,0,3.357781,11.369058,0.295344,1.000000,0,0,0,0
90,0,1.875723,11.369058,0.164985,1.000000,0,0,0,0
91,0,0.127305,11.369058,0.011198,1.000000,0,0,0,0
92,0,1.021110,11.369058,0.089815,1.000000,0,0,0,0
93,0,0.769784,11.369058,0.067709,1.000000,0,0,0,0
94,0,1.813146,11.369058,0.159481,1.000000,0,0,0,0
95,0,8.200135,11.369058,0.721268,1.000000,0,0,0,0
96,0,1.915646,11.369058,0.168496,1.000000,0,0,0,0
97,0,4.112317,11.369058,0.361711,1.000000,0,0,0,0
98,0,1.465785,11.369058,0.128928,1.000000,0,0,0,0
99,0,6.053934,11.369058,0.532492,1.000000,0,0,0,0
100,1,39.373637,11.369058,3.463228,10.852911,1,1,0,0
101,1,3.531127,11.369058,0.310591,1.000000,0,0,0,0
102,1,23.886418,11.369058,2.101002,5.404010,1,1,0,0
103,1,7.202450,11.369058,0.633513,1.000000,0,0,0,0
104,1,23.422807,11.369058,2.060224,5.240897,1,1,1,1
105,1,3.836584,11.369058,0.337458,1.000000,0,0,1,1
106,1,27.803009,11.369058,2.445498,6.781993,1,1,1,1
107,1,2.151892,11.369058,0.189276,1.000000,0,0,1,1
108,1,21.532231,11.369058,1.893933,4.575731,1,1,1,1
109,1,2.431040,11.369058,0.213830,1.000000,0,0,1,1
110,1,13.123991,11.369058,1.154360,1.617442,1,1,1,1
111,1,6.529536,11.369058,0.574325,1.000000,0,0,1,1
112,1,2.283077,11.369058,0.200815,1.000000,0,0,1,1
113,1,22.340809,11.369058,1.965054,4.860215,1,1,1,1
114,1,2.076252,11.369058,0.182623,1.000000,0,0,1,1
115,1,6.789560,11.369058,0.597196,1.000000,0,0,1,1
116,1,4.728595,11.369058,0.415918,1.000000,0,0,1,1
117,1,3.712378,11.369058,0.326534,1.000000,0,0,1,1
118,1,5.236800,11.369058,0.460619,1.000000,0,0,0,1
119,1,8.383546,11.369058,0.737400,1.000000,0,0,0,1
120,1,0.494262,11.369058,0.043474,1.000000,0,0,0,1
121,1,2.325445,11.369058,0.204542,1.000000,0,0,0,1
122,1,3.183371,11.369058,0.280003,1.000000,0,0,0,1
123,1,2.173512,11.369058,0.191178,1.000000,0,0,0,1
124,1,4.707174,11.369058,0.414034,1.000000,0,0,0,1
125,1,15.203492,11.369058,1.337269,2.349077,1,1,0,1
126,1,2.746230,11.369058,0.241553,1.000000,0,0,0,1
127,1,2.499349,11.369058,0.219838,1.000000,0,0,0,1
128,1,4.697160,11.369058,0.413153,1.000000,0,0,0,1
129,1,2.316027,11.369058,0.203713,1.000000,0,0,0,1
130,1,53.089688,11.369058,4.669665,15.678659,1,1,0,1
131,1,3.256518,11.369058,0.286437,1.000000,0,0,0,1
132,1,36.375168,11.369058,3.199488,9.797954,1,1,1,1
133,1,5.101683,11.369058,0.448734,1.000000,0,0,1,1
134,1,33.307692,11.369058,2.929679,8.718717,1,1,1,1
135,1,3.198047,11.369058,0.281294,1.000000,0,0,1,1
136,1,41.218252,11.369058,3.625477,11.501906,1,1,1,1
137,1,1.983550,11.369058,0.174469,1.000000,0,0,1,1
138,1,31.705211,11.369058,2.788728,8.154913,1,1,1,1
139,1,2.582260,11.369058,0.227130,1.000000,0,0,1,1
140,1,20.304006,11.369058,1.785901,4.143602,1,1,1,1
141,1,4.277099,11.369058,0.376205,1.000000,0,0,1,1
142,1,7.707838,11.369058,0.677966,1.000000,0,0,1,1
143,1,33.656805,11.369058,2.960386,8.841546,1,1,1,1
144,1,1.798233,11.369058,0.158169,1.000000,0,0,1,1
145,1,14.915375,11.369058,1.311927,2.247708,1,1,1,1
146,1,5.021363,11.369058,0.441669,1.000000,0,0,1,1
147,1,12.322011,11.369058,1.083820,1.335280,1,1,1,1
148,1,10.530889,11.369058,0.926276,1.000000,0,0,1,1
149,1,16.180332,11.369058,1.423190,2.692761,1,1,1,1
150,1,1.383462,11.369058,0.121687,1.000000,0,0,1,1
151,1,9.435025,11.369058,0.829886,1.000000,0,0,1,1
152,1,7.405342,11.369058,0.651359,1.000000,0,0,1,1
153,1,6.132829,11.369058,0.539432,1.000000,0,0,1,1
154,1,10.072269,11.369058,0.885937,1.000000,0,0,1,1
155,1,22.516508,11.369058,1.980508,4.922031,1,1,1,1
156,1,2.592129,11.369058,0.227999,1.000000,0,0,1,1
157,1,5.874627,11.369058,0.516721,1.000000,0,0,0,1
158,1,8.916484,11.369058,0.784276,1.000000,0,0,0,1
159,1,3.314480,11.369058,0.291535,1.000000,0,0,0,1
160,1,61.347478,11.369058,5.396004,18.584015,1,1,0,1
161,1,3.316614,11.369058,0.291723,1.000000,0,0,0,1
162,1,45.526522,11.369058,4.004424,13.017694,1,1,1,1
163,1,4.322182,11.369058,0.380171,1.000000,0,0,1,1
164,1,43.343100,11.369058,3.812374,12.249496,1,1,1,1
165,1,2.874938,11.369058,0.252874,1.000000,0,0,1,1
166,1,51.070950,11.369058,4.492101,14.968402,1,1,1,1
167,1,2.222755,11.369058,0.195509,1.000000,0,0,1,1
168,1,39.105692,11.369058,3.439660,10.758640,1,1,1,1
169,1,2.721276,11.369058,0.239358,1.000000,0,0,1,1
170,1,26.944596,11.369058,2.369994,6.479975,1,1,1,1
171,1,4.749914,11.369058,0.417793,1.000000,0,0,1,1
172,1,13.923945,11.369058,1.224723,1.898892,1,1,1,1
173,1,29.963734,11.369058,2.635551,7.542205,1,2,1,1
174,1,3.857673,11.369058,0.339313,1.000000,0,0,1,1
175,1,29.842260,11.369058,2.624867,7.499467,1,1,1,1
176,1,3.106162,11.369058,0.273212,1.000000,0,0,1,1
177,1,25.649768,11.369058,2.256103,6.024413,1,1,1,1
178,1,4.605281,11.369058,0.405071,1.000000,0,0,1,1
179,1,26.588000,11.369058,2.338628,6.354513,1,1,1,1
180,1,1.748926,11.369058,0.153832,1.000000,0,0,1,1
181,1,17.666184,11.369058,1.553883,3.215531,1,1,1,1
182,1,6.252419,11.369058,0.549951,1.000000,0,0,1,1
183,1,16.232920,11.369058,1.427816,2.711263,1,1,1,1
184,1,7.243462,11.369058,0.637121,1.000000,0,0,1,1
185,1,38.289681,11.369058,3.367885,10.471541,1,1,1,1
186,1,2.605198,11.369058,0.229148,1.000000,0,0,1,1
187,1,12.133934,11.369058,1.067277,1.269108,1,1,1,1
188,1,14.537569,11.369058,1.278696,2.114784,1,2,1,1
189,1,4.059569,11.369058,0.357072,1.000000,0,0,1,1
190,1,74.915715,11.369058,6.589439,23.357757,1,1,1,1
191,1,3.421914,11.369058,0.300985,1.000000,0,0,1,1
192,1,55.279525,11.369058,4.862279,16.449114,1,1,1,1
193,1,4.368665,11.369058,0.384259,1.000000,0,0,1,1
194,1,50.772990,11.369058,4.465893,14.863570,1,1,1,1
195,1,3.299970,11.369058,0.290259,1.000000,0,0,1,1
196,1,59.108432,11.369058,5.199062,17.796247,1,1,1,1
197,1,2.560517,11.369058,0.225218,1.000000,0,0,1,1
198,1,48.927264,11.369058,4.303546,14.214184,1,1,1,1
199,1,2.759586,11.369058,0.242728,1.000000,0,0,1,1
