id,x,z
0,-12.312199016357397,-18.761710453173166
1,-15.033105913303888,-23.452138066466457
2,-17.611155667393238,-28.14256567975975
3,-20.046348278625445,-32.832993293053036
4,-19.046348278625445,-32.832993293053036
5,-18.046348278625445,-32.832993293053036
6,-17.046348278625445,-32.832993293053036
7,-16.046348278625445,-32.832993293053036
8,-15.046348278625445,-32.832993293053036
9,-14.046348278625445,-32.832993293053036
10,-13.046348278625445,-32.832993293053036
11,-12.046348278625445,-32.832993293053036
12,-11.046348278625443,-32.832993293053036
13,-10.046348278625445,-32.832993293053036
14,-9.046348278625445,-32.832993293053036
15,-8.046348278625445,-32.832993293053036
16,-7.0463482786254446,-32.832993293053036
17,-6.0463482786254446,-32.832993293053036
18,-5.046348278625445,-32.832993293053036
19,-4.0463482786254446,-32.832993293053036
20,-3.0463482786254446,-32.832993293053036
21,-2.0463482786254446,-32.832993293053036
22,-1.0463482786254448,-32.832993293053036
23,-0.04634827862544472,-32.832993293053036
24,0.9536517213745552,-32.832993293053036
25,1.9536517213745554,-32.832993293053036
26,2.953651721374555,-32.832993293053036
27,3.9536517213745554,-32.832993293053036
28,4.810794578517412,-32.6901361501959
29,5.382223149945983,-32.54727900733876
30,5.667937435660269,-32.40442186448161
31,5.667937435660269,-32.26156472162447
32,5.382223149945984,-32.11870757876733
33,4.810794578517412,-31.975850435910186
34,3.9536517213745554,-31.832993293053043
35,2.9536517213745554,-31.832993293053043
36,1.9536517213745557,-31.832993293053043
37,0.9536517213745552,-31.832993293053043
38,-0.046348278625444606,-31.832993293053043
39,-1.0463482786254448,-31.832993293053043
40,-2.0463482786254446,-31.832993293053043
41,-3.0463482786254446,-31.832993293053043
42,-4.0463482786254446,-31.832993293053043
43,-5.0463482786254446,-31.832993293053043
44,-6.0463482786254446,-31.832993293053043
45,-7.046348278625444,-31.832993293053043
46,-8.046348278625445,-31.832993293053043
47,-9.046348278625445,-31.832993293053043
48,-10.046348278625445,-31.832993293053043
49,-11.046348278625443,-31.832993293053043
50,-12.046348278625443,-31.832993293053043
51,-13.046348278625443,-31.832993293053043
52,-14.046348278625445,-31.832993293053043
53,-15.046348278625445,-31.832993293053043
54,-16.046348278625445,-31.832993293053043
55,-17.046348278625445,-31.832993293053043
56,-18.04634827862544,-31.832993293053043
57,-19.046348278625445,-31.832993293053043
58,-20.046348278625445,-31.832993293053043
59,-20.903491135768302,-31.6901361501959
60,-21.474919707196875,-31.54727900733876
61,-21.760633992911156,-31.404421864481616
62,-21.760633992911156,-31.261564721624474
63,-21.47491970719687,-31.11870757876733
64,-20.903491135768302,-30.97585043591019
65,-20.046348278625445,-30.832993293053043
66,-19.046348278625445,-30.832993293053043
67,-18.046348278625445,-30.832993293053043
68,-17.046348278625445,-30.832993293053043
69,-16.046348278625445,-30.832993293053043
70,-15.046348278625445,-30.832993293053043
71,-14.046348278625445,-30.832993293053043
72,-13.046348278625445,-30.832993293053043
73,-12.046348278625445,-30.832993293053043
74,-11.046348278625443,-30.832993293053043
75,-10.046348278625445,-30.832993293053043
76,-8.9034911357683,-30.832993293053043
77,-7.760633992911158,-30.832993293053043
78,-6.617776850054016,-30.832993293053043
79,-5.474919707196874,-30.832993293053043
80,-4.33206256433973,-30.832993293053043
81,-3.1892054214825873,-30.832993293053043
82,-2.0463482786254446,-30.832993293053043
83,-1.0463482786254448,-30.832993293053043
84,0.23936600708884098,-30.832993293053043
85,1.5250802928031266,-30.832993293053043
86,2.810794578517412,-30.832993293053043
87,3.9536517213745554,-30.6901361501959
88,4.810794578517412,-30.54727900733876
89,4.810794578517412,-30.404421864481616
90,4.525080292803127,-30.261564721624474
91,3.6679374356602694,-30.11870757876733
92,2.239366007088841,-29.97585043591019
93,-0.04634827862544455,-29.832993293053047
94,-2.474919707196873,-29.832993293053047
95,-4.903491135768301,-29.832993293053047
96,-6.760633992911158,-29.832993293053047
97,-8.617776850054014,-29.832993293053047
98,-10.474919707196873,-29.832993293053047
99,-12.046348278625443,-29.832993293053047
100,-13.046348278625443,-29.832993293053047
101,-14.046348278625445,-29.832993293053047
102,-15.046348278625445,-29.832993293053047
103,-16.046348278625445,-29.832993293053047
104,-17.046348278625445,-29.832993293053047
105,-18.04634827862544,-29.832993293053047
106,-19.046348278625445,-29.832993293053047
107,-20.046348278625445,-29.832993293053047
108,-20.903491135768302,-29.690136150195904
109,-21.474919707196875,-29.54727900733876
110,-21.760633992911156,-29.404421864481613
111,-21.760633992911156,-29.261564721624467
112,-21.47491970719687,-29.11870757876732
113,-20.903491135768302,-28.975850435910182
114,-20.046348278625445,-28.832993293053036
115,-19.046348278625445,-28.832993293053036
116,-18.046348278625445,-28.832993293053036
117,-17.046348278625445,-28.832993293053036
118,-16.046348278625445,-28.832993293053036
119,-15.046348278625445,-28.832993293053036
120,-11.617776850054016,-28.832993293053036
121,-8.189205421482587,-28.832993293053036
122,-4.903491135768302,-28.690136150195894
123,-1.9034911357683018,-28.54727900733875
124,-1.6177768500540162,-28.40442186448161
125,-1.6177768500540162,-28.261564721624467
126,-1.9034911357683018,-28.118707578767324
127,-5.474919707196873,-27.975850435910182
128,-9.33206256433973,-27.83299329305304
129,-13.332062564339731,-27.83299329305304
130,-17.33206256433973,-27.83299329305304
131,-18.903491135768302,-27.83299329305304
132,-20.33206256433973,-27.690136150195897
133,-21.474919707196875,-27.547279007338755
134,-21.760633992911156,-27.404421864481613
135,-21.760633992911156,-27.261564721624467
136,-20.617776850054014,-27.118707578767324
137,-16.617776850054018,-26.975850435910182
138,-12.33206256433973,-26.83299329305304
139,-8.046348278625443,-26.690136150195897
140,-4.046348278625444,-26.547279007338755
141,-0.33206256433973,-26.404421864481613
142,2.6679374356602694,-26.26156472162447
143,3.239366007088841,-26.118707578767328
144,-0.4749197071968734,-25.975850435910186
145,-4.4749197071968725,-25.832993293053043
146,-8.617776850054016,-25.832993293053043
147,-12.760633992911158,-25.832993293053043
148,-16.760633992911156,-25.6901361501959
149,-20.046348278625445,-25.54727900733876
150,-21.760633992911156,-25.404421864481613
151,-21.760633992911156,-25.261564721624474
152,-20.046348278625445,-25.118707578767328
153,-17.474919707196875,-24.975850435910186
154,-14.617776850054016,-24.832993293053043
155,-11.617776850054014,-24.832993293053043
156,-8.617776850054014,-24.832993293053043
157,-5.617776850054017,-24.832993293053043
158,-2.6177768500540157,-24.832993293053043
159,-0.6177768500540163,-24.832993293053043
160,0.8107945785174123,-24.832993293053043
161,2.239366007088841,-24.832993293053043
162,3.5250802928031266,-24.6901361501959
163,4.525080292803127,-24.54727900733876
164,5.239366007088841,-24.404421864481616
165,5.667937435660269,-24.261564721624474
166,4.9536517213745554,-24.11870757876733
167,3.953651721374555,-23.975850435910186
168,2.6679374356602694,-23.832993293053043
169,1.2393660070888408,-23.832993293053043
170,-0.1892054214825878,-23.832993293053043
171,-1.6177768500540162,-23.832993293053043
172,-3.33206256433973,-23.832993293053043
173,-4.617776850054016,-23.832993293053043
174,-7.189205421482587,-23.832993293053043
175,-9.903491135768302,-23.832993293053043
176,-12.617776850054016,-23.832993293053043
177,-15.33206256433973,-23.832993293053043
178,-17.903491135768302,-23.6901361501959
179,-18.046348278625445,-23.54727900733876
180,-17.903491135768302,-23.404421864481616
