cell_id,row,col,center_x,center_z,covered,uncertainty
701,22,19,-4.0463482786254446,-10.832993293053043,1,0.18000000000000002
702,22,20,-3.046348278625445,-10.832993293053043,1,0.18000000000000002
703,22,21,-2.046348278625445,-10.832993293053043,1,0.18000000000000002
704,22,22,-1.0463482786254446,-10.832993293053043,0,0.7200000000000001
705,22,23,-0.0463482786254445,-10.832993293053043,0,0.7200000000000001
706,22,24,0.9536517213745554,-10.832993293053043,0,0.7200000000000001
707,22,25,1.953651721374556,-10.832993293053043,0,0.7200000000000001
708,22,26,2.9536517213745554,-10.832993293053043,0,0.7200000000000001
709,22,27,3.953651721374555,-10.832993293053043,0,0.7200000000000001
710,22,28,4.9536517213745554,-10.832993293053043,0,0.7200000000000001
711,22,29,5.9536517213745554,-10.832993293053043,0,0.7200000000000001
712,22,30,6.9536517213745554,-10.832993293053043,0,0.7200000000000001
713,23,0,-23.046348278625445,-9.832993293053043,0,0.8800000000000001
714,23,1,-22.046348278625445,-9.832993293053043,0,0.8800000000000001
715,23,2,-21.046348278625445,-9.832993293053043,0,0.8800000000000001
716,23,3,-20.046348278625445,-9.832993293053043,0,0.8800000000000001
717,23,4,-19.046348278625445,-9.832993293053043,0,0.8800000000000001
718,23,5,-18.046348278625445,-9.832993293053043,0,0.8800000000000001
719,23,6,-17.046348278625445,-9.832993293053043,0,0.8800000000000001
720,23,7,-16.046348278625445,-9.832993293053043,0,0.8800000000000001
721,23,8,-15.046348278625445,-9.832993293053043,0,0.8800000000000001
722,23,9,-14.046348278625445,-9.832993293053043,0,0.8800000000000001
723,23,10,-13.046348278625445,-9.832993293053043,0,0.8800000000000001
724,23,11,-12.046348278625445,-9.832993293053043,0,0.8800000000000001
725,23,12,-11.046348278625445,-9.832993293053043,0,0.8800000000000001
726,23,13,-10.046348278625445,-9.832993293053043,0,0.8800000000000001
727,23,14,-9.046348278625445,-9.832993293053043,0,0.8800000000000001
728,23,15,-8.046348278625445,-9.832993293053043,0,0.8800000000000001
729,23,16,-7.0463482786254446,-9.832993293053043,0,0.7200000000000001
730,23,17,-6.0463482786254446,-9.832993293053043,0,0.7200000000000001
731,23,18,-5.0463482786254446,-9.832993293053043,0,0.7200000000000001
732,23,19,-4.0463482786254446,-9.832993293053043,1,0.18000000000000002
733,23,20,-3.046348278625445,-9.832993293053043,1,0.18000000000000002
734,23,21,-2.046348278625445,-9.832993293053043,1,0.18000000000000002
735,23,22,-1.0463482786254446,-9.832993293053043,1,0.18000000000000002
736,23,23,-0.0463482786254445,-9.832993293053043,0,0.7200000000000001
737,23,24,0.9536517213745554,-9.832993293053043,0,0.7200000000000001
738,23,25,1.953651721374556,-9.832993293053043,0,0.7200000000000001
739,23,26,2.9536517213745554,-9.832993293053043,0,0.7200000000000001
740,23,27,3.953651721374555,-9.832993293053043,0,0.7200000000000001
741,23,28,4.9536517213745554,-9.832993293053043,0,0.7200000000000001
742,23,29,5.9536517213745554,-9.832993293053043,0,0.7200000000000001
743,23,30,6.9536517213745554,-9.832993293053043,0,0.7200000000000001
744,24,0,-23.046348278625445,-8.832993293053043,0,0.8800000000000001
745,24,1,-22.046348278625445,-8.832993293053043,0,0.8800000000000001
746,24,2,-21.046348278625445,-8.832993293053043,0,0.8800000000000001
747,24,3,-20.046348278625445,-8.832993293053043,0,0.8800000000000001
748,24,4,-19.046348278625445,-8.832993293053043,0,0.8800000000000001
749,24,5,-18.046348278625445,-8.832993293053043,0,0.8800000000000001
750,24,6,-17.046348278625445,-8.832993293053043,0,0.8800000000000001
751,24,7,-16.046348278625445,-8.832993293053043,0,0.8800000000000001
752,24,8,-15.046348278625445,-8.832993293053043,0,0.8800000000000001
753,24,9,-14.046348278625445,-8.832993293053043,0,0.8800000000000001
754,24,10,-13.046348278625445,-8.832993293053043,0,0.8800000000000001
755,24,11,-12.046348278625445,-8.832993293053043,0,0.8800000000000001
756,24,12,-11.046348278625445,-8.832993293053043,0,0.8800000000000001
757,24,13,-10.046348278625445,-8.832993293053043,0,0.8800000000000001
758,24,14,-9.046348278625445,-8.832993293053043,0,0.8800000000000001
759,24,15,-8.046348278625445,-8.832993293053043,0,0.8800000000000001
760,24,16,-7.0463482786254446,-8.832993293053043,0,0.7200000000000001
761,24,17,-6.0463482786254446,-8.832993293053043,0,0.7200000000000001
762,24,18,-5.0463482786254446,-8.832993293053043,0,0.7200000000000001
763,24,19,-4.0463482786254446,-8.832993293053043,1,0.18000000000000002
764,24,20,-3.046348278625445,-8.832993293053043,1,0.18000000000000002
765,24,21,-2.046348278625445,-8.832993293053043,1,0.18000000000000002
766,24,22,-1.0463482786254446,-8.832993293053043,0,0.7200000000000001
767,24,23,-0.0463482786254445,-8.832993293053043,0,0.7200000000000001
768,24,24,0.9536517213745554,-8.832993293053043,0,0.7200000000000001
769,24,25,1.953651721374556,-8.832993293053043,0,0.7200000000000001
770,24,26,2.9536517213745554,-8.832993293053043,0,0.7200000000000001
771,24,27,3.953651721374555,-8.832993293053043,0,0.7200000000000001
772,24,28,4.9536517213745554,-8.832993293053043,0,0.7200000000000001
773,24,29,5.9536517213745554,-8.832993293053043,0,0.7200000000000001
774,24,30,6.9536517213745554,-8.832993293053043,0,0.7200000000000001
