seed,attack_level,mode,lambda0,T,attack_start,attack_end,mean_score,max_score,ok_plans,episode_success,total_cost,total_risk,max_risk_cell,expansions_sum,api_used,last_err,used_toy_fallback
3,0.9,lambda_shaping,1.0,20,6,15,0.43783465251035925,0.9580526410229656,20,1,3080.0,1310.007247030735,0.9983011484146118,0,_adapter_plan_with_lambda,,0
4,0.0,baseline,1.0,20,6,15,0.03194856284352277,0.11758187374172083,20,1,3080.0,1288.5863104462624,0.973674476146698,0,_adapter_plan_with_lambda,,0
4,0.0,lambda_shaping,1.0,20,6,15,0.03194856284352277,0.11758187374172083,20,1,3080.0,1288.5863104462624,0.973674476146698,0,_adapter_plan_with_lambda,,0
4,0.4,baseline,1.0,20,6,15,0.20570391409857497,0.4444771348910157,20,1,3080.0,1288.5863104462624,0.973674476146698,0,_adapter_plan_with_lambda,,0
4,0.4,lambda_shaping,1.0,20,6,15,0.20570391409857497,0.4444771348910157,20,1,3080.0,1288.5863104462624,0.973674476146698,0,_adapter_plan_with_lambda,,0
4,0.7,baseline,1.0,20,6,15,0.3407039140985749,0.7444771348910156,20,1,3080.0,1288.5863104462624,0.973674476146698,0,_adapter_plan_with_lambda,,0
4,0.7,lambda_shaping,1.0,20,6,15,0.3407039140985749,0.7444771348910156,20,1,3080.0,1288.5863104462624,0.973674476146698,0,_adapter_plan_with_lambda,,0
4,0.9,baseline,1.0,20,6,15,0.430703914098575,0.9444771348910157,20,1,3080.0,1288.5863104462624,0.973674476146698,0,_adapter_plan_with_lambda,,0
4,0.9,lambda_shaping,1.0,20,6,15,0.430703914098575,0.9444771348910157,20,1,3080.0,1288.5863104462624,0.973674476146698,0,_adapter_plan_with_lambda,,0
5,0.0,baseline,1.0,20,6,15,0.02308030247090751,0.08408139597468928,20,1,3080.0,1310.235968530178,0.99567049741745,0,_adapter_plan_with_lambda,,0
5,0.0,lambda_shaping,1.0,20,6,15,0.02308030247090751,0.08408139597468928,20,1,3080.0,1310.235968530178,0.99567049741745,0,_adapter_plan_with_lambda,,0
5,0.4,baseline,1.0,20,6,15,0.19671080528779955,0.42489565921183975,20,1,3080.0,1310.235968530178,0.99567049741745,0,_adapter_plan_with_lambda,,0
5,0.4,lambda_shaping,1.0,20,6,15,0.19671080528779955,0.42489565921183975,20,1,3080.0,1310.235968530178,0.99567049741745,0,_adapter_plan_with_lambda,,0
5,0.7,baseline,1.0,20,6,15,0.3317108052877995,0.7248956592118396,20,1,3080.0,1310.235968530178,0.99567049741745,0,_adapter_plan_with_lambda,,0
5,0.7,lambda_shaping,1.0,20,6,15,0.3317108052877995,0.7248956592118396,20,1,3080.0,1310.235968530178,0.99567049741745,0,_adapter_plan_with_lambda,,0
5,0.9,baseline,1.0,20,6,15,0.4217108052877996,0.9248956592118397,20,1,3080.0,1310.235968530178,0.99567049741745,0,_adapter_plan_with_lambda,,0
5,0.9,lambda_shaping,1.0,20,6,15,0.4217108052877996,0.9248956592118397,20,1,3080.0,1310.235968530178,0.99567049741745,0,_adapter_plan_with_lambda,,0
6,0.0,baseline,1.0,20,6,15,0.0440560492136368,0.10396359015471135,20,1,3080.0,1251.6755530238152,0.9979918003082275,0,_adapter_plan_with_lambda,,0
6,0.0,lambda_shaping,1.0,20,6,15,0.0440560492136368,0.10396359015471135,20,1,3080.0,1251.6755530238152,0.9979918003082275,0,_adapter_plan_with_lambda,,0
6,0.4,baseline,1.0,20,6,15,0.21518496152545472,0.43625071163953055,20,1,3080.0,1251.6755530238152,0.9979918003082275,0,_adapter_plan_with_lambda,,0
6,0.4,lambda_shaping,1.0,20,6,15,0.21518496152545472,0.43625071163953055,20,1,3080.0,1251.6755530238152,0.9979918003082275,0,_adapter_plan_with_lambda,,0
6,0.7,baseline,1.0,20,6,15,0.3501849615254547,0.7362507116395305,20,1,3080.0,1251.6755530238152,0.9979918003082275,0,_adapter_plan_with_lambda,,0
6,0.7,lambda_shaping,1.0,20,6,15,0.3501849615254547,0.7362507116395305,20,1,3080.0,1251.6755530238152,0.9979918003082275,0,_adapter_plan_with_lambda,,0
6,0.9,baseline,1.0,20,6,15,0.44018496152545483,0.9362507116395306,20,1,3080.0,1251.6755530238152,0.9979918003082275,0,_adapter_plan_with_lambda,,0
6,0.9,lambda_shaping,1.0,20,6,15,0.44018496152545483,0.9362507116395306,20,1,3080.0,1251.6755530238152,0.9979918003082275,0,_adapter_plan_with_lambda,,0
7,0.0,baseline,1.0,20,6,15,0.018581318872558324,0.07085909583374864,20,1,3080.0,1263.8725581765175,0.995110034942627,0,_adapter_plan_with_lambda,,0
7,0.0,lambda_shaping,1.0,20,6,15,0.018581318872558324,0.07085909583374864,20,1,3080.0,1263.8725581765175,0.995110034942627,0,_adapter_plan_with_lambda,,0
7,0.4,baseline,1.0,20,6,15,0.1886285831520459,0.40813793076465105,20,1,3080.0,1263.8725581765175,0.995110034942627,0,_adapter_plan_with_lambda,,0
7,0.4,lambda_shaping,1.0,20,6,15,0.1886285831520459,0.40813793076465105,20,1,3080.0,1263.8725581765175,0.995110034942627,0,_adapter_plan_with_lambda,,0
7,0.7,baseline,1.0,20,6,15,0.3236285831520459,0.708137930764651,20,1,3080.0,1263.8725581765175,0.995110034942627,0,_adapter_plan_with_lambda,,0
7,0.7,lambda_shaping,1.0,20,6,15,0.3236285831520459,0.708137930764651,20,1,3080.0,1263.8725581765175,0.995110034942627,0,_adapter_plan_with_lambda,,0
7,0.9,baseline,1.0,20,6,15,0.41362858315204587,0.9081379307646511,20,1,3080.0,1263.8725581765175,0.995110034942627,0,_adapter_plan_with_lambda,,0
7,0.9,lambda_shaping,1.0,20,6,15,0.41362858315204587,0.9081379307646511,20,1,3080.0,1263.8725581765175,0.995110034942627,0,_adapter_plan_with_lambda,,0
8,0.0,baseline,1.0,20,6,15,0.020745846573403663,0.09320050176245719,20,1,3080.0,1280.7826539874077,0.9976388812065125,0,_adapter_plan_with_lambda,,0
