seed,base_mse,online_mse_before,online_mse_after
0,0.40342947840690613,0.5911595821380615,0.5908986926078796
1,0.5388367772102356,0.8004282712936401,0.8000237345695496
2,0.4582672715187073,0.6923538446426392,0.692065954208374
3,0.38230419158935547,0.5667914152145386,0.5665333867073059
4,0.32485824823379517,0.44931861758232117,0.44919222593307495
